MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
63,2021,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
59,2021,No,Vis,1.3,1,Bachelor,(Wirtschafts-)Mathematik
57,2021,No,Vis,2.3,2,Master,WirtschaftsInformatik
88,2021,No,Vis,1,3,Bachelor,(Wirtschafts-)Mathematik
69,2021,No,Vis,1,3,Master,WirtschaftsInformatik
66,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
77,2021,No,Vis,2.7,1,Master,(Wirtschafts-)Mathematik
64,2021,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
63,2021,No,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
80,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
18,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
55,2021,No,Vis,3.7,2,Master,(Wirtschafts-)Mathematik
58,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
69,2021,No,Vis,3,1,Bachelor,WirtschaftsInformatik
85,2021,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
67,2021,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
71,2021,No,Vis,2.7,1,Master,WirtschaftsInformatik
47,2021,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
55,2021,No,Vis,1,1,Bachelor,WirtschaftsInformatik
67,2021,No,Vis,2.3,1,Master,WirtschaftsInformatik
50,2021,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
61,2021,No,Vis,3.7,1,Master,WirtschaftsInformatik
81,2021,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
50,2021,No,Vis,4,1,Master,(Wirtschafts-)Mathematik
75,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
78,2021,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
85,2021,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
90,2021,No,Vis,3,1,Bachelor,WirtschaftsInformatik
42,2021,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
78,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
73,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
76,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
63,2021,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
74,2021,No,Vis,2.3,1,Master,WirtschaftsInformatik
72,2021,No,Vis,3.7,1,Bachelor,(Wirtschafts-)Mathematik
44,2021,No,Vis,3.3,1,Bachelor,(Wirtschafts-)Mathematik
15,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
90,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
44,2021,No,Vis,2,1,Bachelor,(Wirtschafts-)Mathematik
62,2021,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
33,2021,No,Vis,2,1,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,4,1,Master,WirtschaftsInformatik
53,2021,No,Vis,1.3,1,Master,WirtschaftsInformatik
87,2021,No,Vis,3.7,1,Master,WirtschaftsInformatik
67,2021,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
61,2021,No,Vis,3,2,Bachelor,WirtschaftsInformatik
45,2021,No,Vis,3,1,Bachelor,WirtschaftsInformatik
61,2021,No,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
37,2021,No,Vis,5,1,Master,WirtschaftsInformatik
60,2021,No,Vis,3,1,Master,WirtschaftsInformatik
77,2021,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
61,2021,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
90,2021,No,Vis,4,1,Bachelor,WirtschaftsInformatik
29,2021,No,Vis,1.3,3,Bachelor,WirtschaftsInformatik
85,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
56,2021,No,Vis,2,1,Bachelor,WirtschaftsInformatik
15,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
56,2021,No,Vis,2.3,1,Bachelor,(Wirtschafts-)Mathematik
84,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
37,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
71,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
33,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
58,2021,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
36,2021,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
78,2021,No,Vis,3.3,1,Bachelor,(Wirtschafts-)Mathematik
75,2021,No,Vis,1,1,Bachelor,WirtschaftsInformatik
72,2021,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
73,2021,No,Vis,5,1,Bachelor,WirtschaftsInformatik
83,2021,No,Vis,5,1,Master,WirtschaftsInformatik
64,2021,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
62,2021,No,Vis,1,1,Bachelor,WirtschaftsInformatik
53,2021,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
